,QOIL,QGAS,QWAT,PUS,PDS
0,0.1,0.06,0.0,0.299867,0.056666400000000006
1,0.09,0.054000000000000006,0.01,0.299867,0.048035800000000003
2,0.08,0.048,0.02,0.299867,0.0389684
3,0.07,0.042,0.03,0.299867,0.0296236
4,0.06,0.036000000000000004,0.04,0.299867,0.020215999999999998
5,0.05,0.03,0.05,0.299867,0.0107765
6,0.04,0.024,0.06,0.299867,0.01
7,0.1,0.07,0.0,0.299867,0.06966560000000001
8,0.09,0.063,0.01,0.299867,0.06039780000000001
9,0.08,0.055999999999999994,0.02,0.299867,0.0504314
10,0.07,0.049,0.03,0.299867,0.0399716
11,0.06,0.04199999999999998,0.04,0.299867,0.029157799999999998
12,0.05,0.035,0.05,0.299867,0.0182317
13,0.04,0.027999999999999997,0.06,0.299867,0.00502207
14,0.1,0.08,0.0,0.299867,0.08146350000000001
15,0.09,0.07200000000000001,0.01,0.299867,0.0718049
16,0.08,0.064,0.02,0.299867,0.0612744
17,0.07,0.05600000000000001,0.03,0.299867,0.04998910000000001
18,0.06,0.048000000000000015,0.04,0.299867,0.0380632
19,0.05,0.04,0.05,0.299867,0.0257008
20,0.04,0.032,0.06,0.299867,0.0132241
21,0.1,0.09,0.0,0.299867,0.0920876
22,0.09,0.081,0.01,0.299867,0.0822391
23,0.08,0.07200000000000001,0.02,0.299867,0.0713607
24,0.07,0.063,0.03,0.299867,0.059527000000000004
25,0.06,0.054000000000000006,0.04,0.299867,0.0467087
26,0.05,0.045,0.05,0.299867,0.0331144
27,0.04,0.036000000000000004,0.06,0.299867,0.019161900000000003
28,0.1,0.1,0.0,0.299867,0.101619
29,0.09,0.09,0.01,0.299867,0.0917325
30,0.08,0.08,0.02,0.299867,0.08068710000000001
31,0.07,0.07,0.03,0.299867,0.06847169999999998
32,0.06,0.06,0.04,0.299867,0.054989600000000007
33,0.05,0.05,0.05,0.299867,0.040380400000000004
34,0.04,0.04,0.06,0.299867,0.025057299999999998
35,0.1,0.11,0.0,0.299867,0.110159
36,0.09,0.099,0.01,0.299867,0.100342
37,0.08,0.08800000000000001,0.02,0.299867,0.0892601
38,0.07,0.07700000000000001,0.03,0.299867,0.0768052
39,0.06,0.066,0.04,0.299867,0.0628485
40,0.05,0.055,0.05,0.299867,0.04742740000000001
41,0.04,0.044000000000000004,0.06,0.299867,0.030917
42,0.1,0.12,0.0,0.299867,0.11779099999999999
43,0.09,0.10800000000000001,0.01,0.299867,0.108139
44,0.08,0.096,0.02,0.299867,0.0971125
45,0.07,0.084,0.03,0.299867,0.084544
46,0.06,0.07199999999999998,0.04,0.299867,0.070257
47,0.05,0.06,0.05,0.299867,0.05422710000000001
48,0.04,0.048,0.06,0.299867,0.0367088
49,0.1,0.06,0.0,0.599867,0.135301
50,0.09,0.054000000000000006,0.01,0.599867,0.11951200000000001
51,0.08,0.048,0.02,0.599867,0.10258300000000001
52,0.07,0.042,0.03,0.599867,0.0846392
53,0.06,0.036000000000000004,0.04,0.599867,0.0658755
54,0.05,0.03,0.05,0.599867,0.046670099999999985
55,0.04,0.024,0.06,0.599867,0.0277808
56,0.1,0.07,0.0,0.599867,0.1594
57,0.09,0.063,0.01,0.599867,0.142674
58,0.08,0.055999999999999994,0.02,0.599867,0.124549
59,0.07,0.049,0.03,0.599867,0.105021
60,0.06,0.04199999999999998,0.04,0.599867,0.08416900000000001
61,0.05,0.035,0.05,0.599867,0.062272600000000004
62,0.04,0.027999999999999997,0.06,0.599867,0.0400309
63,0.1,0.08,0.0,0.599867,0.18098199999999998
64,0.09,0.07200000000000001,0.01,0.599867,0.163681
65,0.08,0.064,0.02,0.599867,0.14474399999999998
66,0.07,0.05600000000000001,0.03,0.599867,0.124081
67,0.06,0.048000000000000015,0.04,0.599867,0.101656
68,0.05,0.04,0.05,0.599867,0.07758769999999998
69,0.04,0.032,0.06,0.599867,0.0524038
70,0.1,0.09,0.0,0.599867,0.20036500000000002
71,0.09,0.081,0.01,0.599867,0.18272300000000002
72,0.08,0.07200000000000001,0.02,0.599867,0.163251
73,0.07,0.063,0.03,0.599867,0.141785
74,0.06,0.054000000000000006,0.04,0.599867,0.11818400000000001
75,0.05,0.045,0.05,0.599867,0.0924082
76,0.04,0.036000000000000004,0.06,0.599867,0.06475619999999999
77,0.1,0.1,0.0,0.599867,0.217823
78,0.09,0.09,0.01,0.599867,0.20001100000000002
79,0.08,0.08,0.02,0.599867,0.180209
80,0.07,0.07,0.03,0.599867,0.158188
81,0.06,0.06,0.04,0.599867,0.133713
82,0.05,0.05,0.05,0.599867,0.106603
83,0.04,0.04,0.06,0.599867,0.07692439999999999
84,0.1,0.11,0.0,0.599867,0.233602
85,0.09,0.099,0.01,0.599867,0.215748
86,0.08,0.08800000000000001,0.02,0.599867,0.19577000000000003
87,0.07,0.07700000000000001,0.03,0.599867,0.173382
88,0.06,0.066,0.04,0.599867,0.148268
89,0.05,0.055,0.05,0.599867,0.120115
90,0.04,0.044000000000000004,0.06,0.599867,0.08877739999999999
91,0.1,0.12,0.0,0.599867,0.247915
92,0.09,0.10800000000000001,0.01,0.599867,0.23011099999999998
93,0.08,0.096,0.02,0.599867,0.210073
94,0.07,0.084,0.03,0.599867,0.18746600000000002
95,0.06,0.07199999999999998,0.04,0.599867,0.16189699999999999
96,0.05,0.06,0.05,0.599867,0.132938
97,0.04,0.048,0.06,0.599867,0.10024200000000001
98,0.1,0.06,0.0,0.8998650000000001,0.254304
99,0.09,0.054000000000000006,0.01,0.8998650000000001,0.23217
100,0.08,0.048,0.02,0.8998650000000001,0.20787299999999997
101,0.07,0.042,0.03,0.8998650000000001,0.18130400000000002
102,0.06,0.036000000000000004,0.04,0.8998650000000001,0.152042
103,0.05,0.03,0.05,0.8998650000000001,0.12000500000000001
104,0.04,0.024,0.06,0.8998650000000001,0.08519560000000001
105,0.1,0.07,0.0,0.8998650000000001,0.28934000000000004
106,0.09,0.063,0.01,0.8998650000000001,0.266721
107,0.08,0.055999999999999994,0.02,0.8998650000000001,0.241699
108,0.07,0.049,0.03,0.8998650000000001,0.213888
109,0.06,0.04199999999999998,0.04,0.8998650000000001,0.182912
110,0.05,0.035,0.05,0.8998650000000001,0.14846399999999998
111,0.04,0.027999999999999997,0.06,0.8998650000000001,0.109972
112,0.1,0.08,0.0,0.8998650000000001,0.318454
113,0.09,0.07200000000000001,0.01,0.8998650000000001,0.29596
114,0.08,0.064,0.02,0.8998650000000001,0.270762
115,0.07,0.05600000000000001,0.03,0.8998650000000001,0.242451
116,0.06,0.048000000000000015,0.04,0.8998650000000001,0.21055800000000002
117,0.05,0.04,0.05,0.8998650000000001,0.174436
118,0.04,0.032,0.06,0.8998650000000001,0.13339600000000001
119,0.1,0.09,0.0,0.8998650000000001,0.343609
120,0.09,0.081,0.01,0.8998650000000001,0.32091400000000003
121,0.08,0.07200000000000001,0.02,0.8998650000000001,0.295713
122,0.07,0.063,0.03,0.8998650000000001,0.267432
123,0.06,0.054000000000000006,0.04,0.8998650000000001,0.23516600000000001
124,0.05,0.045,0.05,0.8998650000000001,0.19805499999999998
125,0.04,0.036000000000000004,0.06,0.8998650000000001,0.15516400000000002
126,0.1,0.1,0.0,0.8998650000000001,0.366224
127,0.09,0.09,0.01,0.8998650000000001,0.343314
128,0.08,0.08,0.02,0.8998650000000001,0.317803
129,0.07,0.07,0.03,0.8998650000000001,0.289258
130,0.06,0.06,0.04,0.8998650000000001,0.25694700000000004
131,0.05,0.05,0.05,0.8998650000000001,0.219468
132,0.04,0.04,0.06,0.8998650000000001,0.17535399999999998
133,0.1,0.11,0.0,0.8998650000000001,0.38668300000000005
134,0.09,0.099,0.01,0.8998650000000001,0.363687
135,0.08,0.08800000000000001,0.02,0.8998650000000001,0.33795600000000003
